Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
721302,DE767565,Beverages and Catering,137960 USD,0000-00-00
560813,RO123456,IT Support,141419 EUR,2018-06-13
353921,RO123456,Concierge Services,58688.4 CAD,2018-06-08
950506,RU567434,Beverages and Catering,265765 RON,2018-06-13
907707,RO874232,IT Support,107680 CAD,2018-06-27
884952,DE325476,IT Support,218322 RON,2018-07-22
435070,RO125678,Waste management services,63907.2 USD,2018-07-26
894333,DE767565,Various paper supplies,251658 EUR,2018-07-07
755748,RO345879,Concierge Services,115253 USD,2018-07-21
244371,RO892123,Waste management services,212578 USD,2018-07-06
533823,FR453231,Waste management services,190134 CAD,2018-07-02
544700,RO892123,Various paper supplies,10429.2 RON,2018-07-20
227533,RO345879,Professional Services,119759 CAD,2018-07-11
586929,RO892123,Various paper supplies,133135 EUR,2018-07-05
786369,RO254678,Various paper supplies,65985.6 CAD,2018-07-14
250730,FR121212,Professional Services,118918 CAD,2018-07-20
578306,RO125678,Beverages and Catering,237569 RON,2018-07-10
516646,FR322345,Concierge Services,134562 EUR,2018-07-10
423602,FR322345,Concierge Services,307392 RON,2018-07-16
910652,IT754893,Waste management services,282416 EUR,2018-07-20
433095,IT213456,Beverages and Catering,337916 CAD,2018-07-14
247095,RO125678,Concierge Services,43485.6 EUR,2018-07-24
326332,RO345879,Concierge Services,327862 USD,2018-07-22
319938,RO345879,Various paper supplies,178685 USD,0000-00-00
302966,RO345879,Beverages and Catering,74378.4 CAD,2018-08-14
401355,FR322345,Professional Services,178216 RON,2018-08-20
928638,RO123456,Waste management services,78360 USD,2018-08-25
607245,DE767565,Waste management services,107772 RON,2018-08-11
464950,IT754893,Beverages and Catering,149903 RON,2018-08-04
510076,RO125678,Beverages and Catering,321137 USD,2018-08-01
309913,RO892123,Beverages and Catering,159151 USD,2018-08-02
627251,IT231232,IT Support,344515 EUR,2018-08-17
165758,IT213456,Professional Services,323002 EUR,2018-08-10
884476,IT231232,IT Support,69426 CAD,2018-08-19
814905,RO874232,Concierge Services,318689 EUR,2018-08-24
290311,FR121212,Professional Services,355452 USD,2018-08-05
473764,RU567434,Professional Services,191436 EUR,2018-08-04
126057,RO125678,Beverages and Catering,357109 CAD,2018-08-18
497525,IT754893,Waste management services,234 CAD,2018-08-28
730936,RO254678,Concierge Services,14227.2 USD,2018-09-17
347063,DE325476,Beverages and Catering,304384 EUR,2018-09-18
493950,FR453231,Waste management services,109210 CAD,2018-09-16
755143,RO123456,Various paper supplies,262928 EUR,2018-09-25
996245,RO345879,IT Support,32492.4 RON,2018-09-08
547726,DE325476,Concierge Services,29040 CAD,2018-09-05
809613,IT754893,Various paper supplies,342376 EUR,2018-09-07
772095,RU567434,Beverages and Catering,141365 CAD,2018-09-25
729767,RO874232,Beverages and Catering,154934 EUR,2018-09-01
983497,RO123456,Waste management services,87511.2 CAD,2018-09-10
377257,FR322345,Various paper supplies,257644 USD,2018-09-17
672132,FR322345,Professional Services,314524 USD,2018-09-28
646019,FR453231,Concierge Services,267095 RON,2018-09-27
949309,RO125678,Various paper supplies,111017 RON,2018-10-05
799702,RO212121,IT Support,180751 CAD,2018-10-06
620935,IT213456,Beverages and Catering,74095.2 CAD,2018-10-04
298138,FR453231,Waste management services,38986.8 USD,2018-10-23
828405,DE767565,Various paper supplies,30102 RON,2018-10-03
735156,RO125678,Beverages and Catering,195210 RON,2018-10-19
410491,FR453231,Professional Services,269946 RON,2018-10-14
145800,IT231232,Professional Services,350656 EUR,2018-10-18
497742,DE456232,Waste management services,184853 EUR,2018-10-15
500965,RO892123,Professional Services,86482.8 EUR,0000-00-00
911869,DE767565,Various paper supplies,24855.6 RON,2018-10-26
968372,DE325476,Beverages and Catering,228077 EUR,2018-10-06
651801,IT231232,Various paper supplies,139861 EUR,2018-10-28
928493,RO123456,Waste management services,87106.8 EUR,2018-10-07
934984,FR453231,IT Support,141425 CAD,2018-10-06
306229,DE456232,Various paper supplies,261204 EUR,2018-11-05
451563,IT231232,Concierge Services,236870 CAD,2018-11-14
819243,RO125678,Various paper supplies,201796 RON,2018-11-24
658307,RO212121,Concierge Services,71235.6 USD,2018-11-13
603284,RO123456,IT Support,95329.2 EUR,2018-11-25
428591,DE325476,IT Support,252624 USD,2018-11-05
190947,RO123456,Professional Services,331346 RON,2018-11-25
528124,RO345879,Waste management services,127711 USD,2018-11-28
669457,RO212121,IT Support,76533.6 RON,0000-00-00
508457,RO123456,Waste management services,276043 CAD,2018-11-19
568501,RU567434,Professional Services,164256 USD,2018-12-05
269905,RO254678,Concierge Services,295813 CAD,2018-12-05
992172,RO345879,Concierge Services,217307 USD,2018-12-14
405113,RO254678,Beverages and Catering,273194 USD,2018-12-02
771771,IT754893,Professional Services,95446.8 USD,2018-12-09
708111,RO125678,Waste management services,66378 USD,2018-12-27
408143,RO874232,Professional Services,242209 CAD,2018-12-17
254563,RO123456,Beverages and Catering,92082 RON,2018-12-28
943460,IT213456,Beverages and Catering,342377 CAD,2018-12-19
101886,FR322345,Waste management services,5838 CAD,2018-12-01
196613,DE767565,Waste management services,32413.2 CAD,2018-12-10
312837,RO892123,Concierge Services,62494.8 RON,2018-12-07
649772,FR322345,Beverages and Catering,58885.2 EUR,2018-12-24
